source_name,init_classification,probability,fit_model,coherence_r,coherence_g,coherence_i,description
ZTF21aaqupdt,Ia,0.93944,salt3,,,,
ZTF21aapjmda,Ia-91bg,1.0,salt3,,,,
ZTF21abvarfi,Ia,0.99896,salt3,,,,
ZTF21aaaovua,Ia,1.0,salt3,,,,
ZTF23aagjkww,Ia,0.999,salt3,,,,
ZTF22aadetzs,Ia,0.98755,salt3,,,,
ZTF21aaxstsv,Ia,0.96613,salt3,,,,
ZTF21aakvrgb,Ia,1.0,salt3,,,,
ZTF21aaaytny,Ia,1.0,salt3,,,,
ZTF22abbirsn,Ia,0.96671,salt3,,,,
ZTF21aagtqug,Ia,0.99,salt3,,,,
ZTF21aarzsnt,Ia,1.0,salt3,,,,
ZTF21aadahyi,Ia,1.0,salt3,,,,
ZTF21abybqzc,Ia,1.0,salt3,,,,
ZTF21abrxdrk,Ia,1.0,salt3,,,,
ZTF22aafrsmk,Ia,0.999,salt3,,,,
ZTF22abfxmvf,Ia,0.9927,salt3,,,,
ZTF20abxkjxg,Ia,1.0,salt3,,,,
ZTF22aadthro,Ia,0.8,salt3,,,,
ZTF22aalmqrv,Ia,0.8,salt3,,,,
ZTF22aadeqoe,Ia,0.96833,salt3,,,,
ZTF20acxmxth,Ia,1.0,salt3,,,,
ZTF22aahmbwn,Ia,0.91877,salt3,,,,
ZTF21aaaoviv,Ia,0.9996,salt3,,,,
ZTF20acwombm,Ia,0.98,salt3,,,,
ZTF22aagyrlp,Ia,0.99978,salt3,,,,
ZTF22absxatm,Ia,0.99,salt3,,,,
ZTF22aajrjrc,Ia,0.96774,salt3,,,,
ZTF21aardybv,Ia,1.0,salt3,,,,
ZTF21aabhtlj,Ia,0.8,salt3,,,,
ZTF21aalnxkl,Ia,1.0,salt3,,,,
ZTF22aboisvs,Ia,1.0,salt3,,,,
ZTF20acpgzkt,Ia,1.0,salt3,,,,
ZTF22aaahfyi,Ia,0.9,salt3,,,,
ZTF21abcmepi,Ia,0.99353,salt3,,,,
ZTF21aagtceu,Ia,0.9993,salt3,,,,
ZTF22aahhubz,Ia,0.99,salt3,,,,
ZTF22aatxwlk,Ia,0.99492,salt3,,,,
ZTF21aahptas,Ia,0.9,salt3,,,,
ZTF21aaazieb,Ia,0.99,salt3,,,,
ZTF21acizbmv,Ia,1.0,salt3,,,,
ZTF22aafytvb,Ia-91bg,0.9,salt3,,,,
ZTF20acuimtq,Ia,1.0,salt3,,,,
ZTF22aaikzzr,Ia,0.99,salt3,,,,
ZTF22aafnqtw,Ia,0.98576,salt3,,,,
ZTF21aarzalr,Ia,1.0,salt3,,,,
ZTF21aarejnt,Ia,0.93477,salt3,,,,
ZTF22abnlwjv,Ia,0.98797,salt3,,,,
ZTF22aaagscm,Ia,0.97214,salt3,,,,
ZTF21aaxtrlt,Ia-91T,1.0,salt3,,,,
ZTF20acwphqb,Ia,0.7,salt3,,,,
ZTF22aaajixo,Ia,1.0,salt3,,,,
ZTF22aadkowq,Ia,0.99979,salt3,,,,
ZTF22abrredj,Ia,0.93,salt3,,,,
ZTF21accyvil,Ia,0.999,salt3,,,,
ZTF22aakrimd,Ia,0.99677,salt3,,,,
ZTF20acpkqhq,Ia,1.0,salt3,,,,
ZTF20aciigcw,Ia-91bg,1.0,salt3,,,,
ZTF21abyslhz,Ia,0.84,salt3,,,,
ZTF22aadiujq,Ia,0.99963,salt3,,,,
ZTF22abcuctb,Ia,0.9844,salt3,,,,
ZTF21abczuub,Ia,1.0,salt3,,,,
ZTF21aappktx,Ia,1.0,salt3,,,,
