,EM_fraction,EM_rate_lower,EM_rate_mid,EM_rate_upper
O4a,0.2716049382716049,0.8148148148148148,2.9876543209876543,7.604938271604938
O4b,0.21812749003984064,3.053784860557769,7.852589641434263,18.540836653386453
O5,0.15326633165829145,12.261306532663315,27.587939698492463,61.30653266331658
