simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time	ULTRASAT_efficiency	ULTRASAT_efficiency_err	ULTRASAT_detection	ZTF_efficiency	ZTF_efficiency_err	ZTF_detection	LSST_efficiency	LSST_efficiency_err	LSST_detection
39	2.4084685	0.086911397	0.26154381	296.42256	2.3524033	2.0449923	-0.1767555	-0.014443236	1.8033876419067383	-2.7426302433013916	1026060430	666605115	1026060430.654872	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0
47	2.434501	-0.44445802	2.6385445	512.32819	1.8709302	1.5844556	0.12146003	0.17324942	5.804675579071045	1.1026228666305542	1001128439	894866824	1001128439.914347	0.0333	0.0017941881172273994	0	0.0606	0.0023859513825725785	0	0.1118	0.0031512023102301763	0
61	4.9260559	0.77806619	2.7293805	548.67382	2.0140382	1.9691527	-0.21953715	-0.19908697	3.5845978260040283	3.014039993286133	1003627478	925870895	1003627478.906444	0.0056	0.0007462332075162562	0	0.0029	0.0005377350648786073	0	0.0	0.0	0
85	4.6484458	0.3994863	0.98852277	202.2241	2.162526	1.6608185	-0.067177778	0.012920302	3.8101048469543457	-0.6087339520454407	1008267304	960808992	1008267304.940782	0.0086	0.0009233655830709741	0	0.0464	0.0021034980389817337	0	0.0626	0.002422421102946389	0
99	0.74084987	-0.15450337	2.4096784	248.38971	1.5296106	1.4760985	0.30110241	-0.067942275	5.299139499664307	2.078540563583374	1009003750	633914471	1009003750.626392	0.2693	0.004435961113445428	0	0.2148	0.004106835277923866	0	0.3578	0.004793528554207224	1
100	6.0422185	-0.82245846	2.5673898	322.97238	2.0920431	1.6067648	0.045075312	0.1718562	4.676052093505859	1.5530166625976562	1000314673	422108650	1000314673.442261	0.0028	0.0005284089325512959	0	0.0414	0.001992135537557623	0	0.0681	0.002519174269477997	1
116	3.0974585	-0.68239946	1.1365684	214.08979	2.6993959	1.6709211	0.37668724	-0.05015348	3.2971739768981934	-0.20948374271392822	1011303961	804257751	1011303961.8245	0.0022	0.0004685253461660319	0	0.0736	0.002611188235267615	0	0.1942	0.003955835689206517	1
118	0.22181978	-1.0038999	1.7644685	353.37214	2.7121627	2.5585066	-0.38185006	0.1592998	2.405428886413574	-2.7576749324798584	1015152164	683887959	1015152164.702627	0.0155	0.0012353036064061337	0	0.1154	0.0031950405318242835	0	0.3151	0.004645556909564234	0
128	2.4400603	1.3253426	0.62853526	330.61691	2.1099369	1.4581967	0.0098702219	0.0047005946	1.8055390119552612	-0.8059364557266235	1028999168	418889999	1028999168.402447	0.0048	0.0006911555541265655	0	0.0264	0.0016032167663793937	0	0.35	0.004769696007084728	0
131	0.85922384	-0.91662939	2.0270559	176.01394	1.8034991	1.4037645	0.09718093	-0.049443146	5.695212364196777	2.258854627609253	1029903313	155454755	1029903313.171134	0.0522	0.0022243012385915716	1	0.0082	0.0009018181634897359	0	0.2899	0.004537157590386298	0
134	2.8824834	-0.18194166	2.6717784	642.38842	2.9108419	1.398045	-0.01222341	0.041867228	3.16938853263855	1.109404444694519	1014232326	496415257	1014232326.514454	0.0031	0.0005559127629403736	0	0.0271	0.0016237484411077967	0	0.267	0.004423923597893616	0
135	1.2494087	-0.65017802	0.67286493	252.98103	1.6987914	1.4178988	-0.05664085	0.3000103	1.3817145824432373	-0.1577765941619873	1001881688	405323625	1001881688.424027	0.0036	0.0005989190262464534	0	0.1552	0.003620952360912803	0	0.7496	0.004332433957950196	1
146	2.9124411	-1.124759	2.0826885	266.22379	1.9860359	1.4187446	0.024371051	-0.0064244607	0.28555262088775635	2.4277749061584473	1013797580	229056597	1013797580.247523	0.0022	0.0004685253461660319	0	0.0135	0.0011540255629751016	0	0.2983	0.004575118686985071	1
159	3.2766243	0.17193163	2.2850471	329.61565	2.2138345	1.3745482	-0.10477087	0.15506444	2.35776686668396	2.4802463054656982	1004899283	819711566	1004899283.80429	0.0017	0.00041195994950965806	0	0.0069	0.0008277916404506632	0	0.0687	0.0025294329404038367	0
162	0.21553895	1.1719583	2.5816087	584.86725	2.3113812	1.7016935	-0.24750953	0.28812079	0.19145342707633972	2.6114604473114014	1019928499	452717304	1019928499.434083	0.0034	0.0005821030836544331	0	0.0179	0.0013258804621835258	0	0.185	0.003882975663070785	0
165	4.8161088	-1.2955216	2.4875824	173.67524	2.085473	1.7862676	-0.075195322	-0.37772242	6.242918014526367	-1.7931584119796753	1027137101	967010975	1027137101.978638	0.0729	0.0025997228698459384	0	0.0008	0.0002827295527531567	0	0.0422	0.002010451690541208	0
169	2.6636977	-1.1281262	0.36931392	370.80389	1.6524845	1.3496192	-0.14952624	-0.10593118	2.354285478591919	-3.016402006149292	1023903358	45019388	1023903358.061279	0.0013	0.00036032069049667407	0	0.0022	0.0004685253461660319	0	0.0437	0.002044267839594411	0
187	4.0165991	0.50657333	0.53762049	409.21088	2.8327512	2.2946444	0.9646218	-0.085915434	1.6665419340133667	0.9530418515205383	1009562493	707424879	1009562493.690197	0.0218	0.0014602999691844137	0	0.4366	0.004959641519303588	1	0.4804	0.004996156923075976	0
